,Divorced,Married,Parther,Separated,Never,Widowed
256,2.430522,81.13359,1.7947694,10.671758,1.8340683,2.1352885
257,2.744258,81.87694,2.0493634,10.234544,1.6726097,1.4222864
258,3.7917852,77.60728,2.253347,11.92935,1.9763901,2.4418397
259,4.118128,31.602713,8.652362,42.678185,10.459189,2.4894247
260,1.7490023,79.90097,2.439664,12.018014,2.4733915,1.4189683
261,2.110899,81.80181,2.2016041,10.379644,1.9658486,1.5401975
262,8.591216,4.4569016,11.222286,7.1336055,10.214961,58.381027
263,6.251607,40.071014,14.283037,27.231005,9.009173,3.15416
264,1.7481573,78.539246,1.7422214,14.392646,2.239152,1.3385818
265,3.38409,1.8413196,84.4636,2.733756,6.4849114,1.092324
266,1.7237227,83.21518,1.7012364,10.164715,1.8034068,1.39174
267,1.6116135,2.737262,9.63023,14.307459,68.86953,2.8439074
268,1.383767,2.8770418,7.470849,14.230617,70.65247,3.3852522
269,1.8932528,81.98649,1.8791825,10.660945,1.950013,1.6301136
270,10.677335,2.9672449,3.7255015,4.269472,3.6437984,74.71666
271,2.219514,77.21455,2.0386698,14.294656,2.3901649,1.842453
272,3.6843278,12.453202,8.407996,54.404266,18.339334,2.7108734
273,3.0127068,20.779606,16.494402,29.916174,25.14125,4.655862
274,2.2292533,10.523136,5.98939,46.913788,29.176882,5.167548
275,7.797236,40.9714,9.871554,26.760298,8.086925,6.512585
276,76.46485,4.6565075,5.287058,5.353406,2.1130793,6.1250925
277,6.623514,10.929239,44.487907,14.745696,17.289892,5.9237566
278,5.2864833,37.47815,2.8385491,41.406406,5.8679647,7.122445
279,9.166498,47.33532,6.140332,27.970514,5.1634717,4.223871
280,2.4852417,82.489655,1.9142277,9.955156,1.652352,1.5033647
281,90.01699,2.0866854,3.357343,2.083782,0.78458667,1.6706111
282,69.56746,6.00462,7.310706,8.098902,3.141601,5.8767104
283,2.0510156,68.178154,3.6291037,17.996588,4.913626,3.2315044
284,90.498024,2.0461247,2.5643837,2.1015513,0.75522697,2.0346978
285,1.9641442,82.04028,1.728446,11.040413,1.8090042,1.4177029
286,1.266836,2.257294,7.3315463,12.774002,73.795555,2.5747702
